frase,10,50,75,100,150,200,300,400,500,600,750,1000,base
Qual foi o último filme de Alec Guinness?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual a montanha mais alta da Austrália?,False,False,False,False,False,False,False,False,False,False,False,False,False
Frank Herbert ainda vive?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem criou Family Guy?,True,True,True,True,True,True,True,True,True,True,True,True,True
Qual a língua oficial do Suriname?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem escreveu a canção Hotel California?,False,False,False,False,False,False,False,False,False,False,False,False,False
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.,False,False,False,False,False,False,False,False,False,False,False,False,False
Quais são os ingredientes do biscoito de chocolate?,False,False,False,False,False,False,False,False,False,False,False,False,False
Liste todos os skatistas profissionais da Suécia.,False,False,False,False,False,False,False,False,False,False,False,False,False
Que ingredientes eu preciso para um bolo de cenoura?,False,False,False,False,False,False,False,False,False,False,False,False,False
O Neymar joga no Real Madrid?,False,False,False,False,False,False,False,False,False,False,False,False,False
Que cientista da computação ganhou um Oscar?,False,False,False,False,False,False,True,True,True,True,True,True,-1
Quantas empresas foram fundadas no mesmo ano que o Google?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Em que cidade da Inglaterra está a sede do MI6?,False,False,False,False,False,False,False,False,False,False,False,True,-1
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual o significado de IYCM?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quando a Dinastia Ming acabou?,False,False,False,False,False,False,False,False,False,False,False,False,False
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,False,True,True,True,False,False,False,False,False,False,False,False,False
"Qual é a população total de Melbourne, Florida?",False,False,False,False,False,False,False,False,False,False,False,False,False
Arnold Schwarzenegger frequentou uma universidade?,False,False,False,False,False,False,True,False,False,False,False,False,False
Em que país está o Monte Everest?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual é a maior cidade da Austrália?,False,False,False,False,False,False,False,False,False,False,False,False,False
Ache todas as plataformas de lançamento espaciais operadas pela NASA.,True,True,False,False,False,False,False,False,False,False,False,False,False
Quem é o prefeito de Tel Aviv?,True,True,True,True,True,True,True,True,True,True,True,True,True
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,False,True,True,True,False,False,False,False,False,False,False,False,False
Quem criou Batman?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quem interpretou Gus Fring em Breaking Bad?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que linguagem de programação foi escrito o GIMP?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que império antigo você poderia pagar com grãos de cacau?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem é o editor da Forbes?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quantos habitantes tem a capital da Austrália?,True,True,True,True,True,True,True,True,True,True,True,True,-1
Quais surfistas profissionais nasceram na Austrália?,True,True,True,True,True,True,True,True,True,True,True,True,True
Que companhias de eletrônica foram fundadas em Beijing?,True,True,True,True,True,True,True,True,True,True,True,True,-1
Mostre todos os jogos da Mean Hamster Software.,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantas lojas Aldi existem?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual a capital de Camarões?,True,True,True,True,True,True,True,True,True,True,True,True,True
Há algum jogo eletrônico chamado Battle Chess?,False,False,False,False,False,False,False,False,False,False,False,False,False
A esposa do Presidente Lincoln chamava-se Mary?,False,False,False,False,False,False,False,False,False,False,False,False,False
Encontre todos os filmes dirigidos por Francis Ford Coppola.,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual filme de Tim Burton teve o maior orçamento?,False,False,False,False,False,False,False,False,False,False,False,False,False
Breaking Bad tem mais episódios do que Game of Thrones?,False,False,True,True,False,False,False,False,False,False,False,False,False
Quem era chamado de Rodzilla?,False,False,False,False,False,False,False,False,False,False,False,False,False
Natalie Portman nasceu nos Estados Unidos?,True,True,True,True,True,True,True,True,True,True,True,True,False
Mostre os netos de Elvis Presley.,False,False,False,False,False,False,False,False,False,False,False,False,False
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?,False,False,True,True,False,False,False,False,False,False,False,False,False
Quando morreu o criador de Drácula?,False,False,False,False,True,False,False,False,False,False,False,False,False
De que país vem o criador de Miffy?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual é o nome verdadeiro do Batman?,True,True,True,True,True,True,True,True,True,True,True,True,True
Que forma de governo a Rússia possui?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantas companhias foram fundadas pelo fundador do Facebook?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Liste todas as gravadoras canadenses de música Grunge.,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantos filhos Benjamim Franklin teve?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste os filhos de Margaret Thatcher.,False,False,False,False,False,False,False,False,False,False,False,False,False
De que região é o Melon de Bourgogne?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Qual é o filho mais velho de Meryl Streep?,False,False,False,False,False,False,False,False,False,False,False,False,False
As rãs arborícolas são um tipo de anfíbio?,False,False,False,False,False,False,False,False,False,False,False,False,False
Christian Bale atua em Velvet Goldmine?,False,False,False,False,False,False,False,False,False,False,False,False,False
Liste todos os jogos da GMT.,False,False,False,False,False,False,False,False,False,False,False,False,False
O Isar desemboca em um lago?,False,False,True,True,True,True,True,True,True,True,True,True,True
Que aeroportos a Yeti Airlines serve?,False,False,False,False,False,False,False,False,False,False,False,False,False
Que empresa indiana tem o maior número de empregados?,False,False,False,False,False,False,False,False,False,False,False,False,False
Que cor expressa a lealdade?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual a cidade com maior população?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem criou a Wikipedia?,False,False,False,False,False,False,False,False,False,False,False,False,False
Rita Wilson é a esposa de Tom Hanks?,False,False,False,False,False,False,False,False,False,False,False,False,False
A esposa do presidente Obama chama-se Michelle?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantos grupos étnicos vivem na Eslovênia?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Quem é o presidente da Eritrea?,True,True,True,True,True,True,True,True,True,True,True,True,True
Que filmes Stanley Kubrick dirigiu?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quando o Titanic foi completado?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantas páginas tem Guerra e Paz?,False,True,True,True,True,True,True,True,True,True,True,True,True
Quem é o jogador mais jovem da Premier League?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual a montanha mais alta da Itália?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual a altura de Claudia Schiffer?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quem foi o vice presidente de John F. Kennedy?,False,False,False,True,True,True,True,True,True,True,True,True,True
Que subsidiária da Lufthansa atende Dortmund e Berlin?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem foi o sucessor de John F. Kennedy?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem compôs a trilha sonora do Titanic de Cameron?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quais filmes Kurosawa dirigiu?,True,True,True,True,True,True,True,True,True,True,True,True,True
Para qual gravadora Elvis gravou seu primeiro álbum?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que fuso horário está Roma?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual a moeda da China?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quem são os desenvolvedores do DBPedia?,True,True,True,True,True,True,True,True,True,True,True,True,True
O local onde Abraham Lincoln morreu tem um website?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem é o rei da Holanda?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que cidade Nikos Kazantzakis morreu?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem foi o pai da Rainha Elizabeth II?,False,False,False,False,False,False,False,False,False,False,False,False,False
Liste todas as aves que correm perigo de extinção.,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantos habitantes tem a maior cidade do Canadá?,False,False,False,False,False,False,False,False,False,False,False,False,-1
De quais conflitos militares Lawrence da Arábia participou?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual o livro com maior número de páginas?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que país nasce o Nilo?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quem é o piloto de Fórmula 1 com mais corridas?,False,False,False,False,False,False,False,False,False,False,False,False,False
Que companhias produzem aerodeslizadores?,False,False,False,False,False,False,False,False,False,False,False,False,False
Elvis Presley teve filhos?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que cidade o presidente de Montenegro nasceu?,True,True,True,True,True,True,True,True,True,True,True,True,-1
Em que país Bill Gates nasceu?,True,True,True,True,True,True,True,True,True,True,True,True,True
Em que país se fala japonês?,False,False,False,False,False,False,False,False,False,False,False,False,False
Mostre me o livro que Muhammad Ali escreveu.,False,False,False,False,False,False,False,False,False,False,False,False,True
Michelle Obama é a esposa de Barack Obama?,True,True,True,True,True,True,True,True,True,True,True,True,True
Qual é o código de área de Berlin?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Liste todos os atores que atuaram em Last Action Hero.,False,False,False,False,False,False,False,False,False,False,False,False,False
Quais são os apelidos de San Francisco?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual foi o primeiro álbum do Queen?,False,False,False,False,False,False,False,False,False,False,False,False,False
Por quais países o rio Yenisei passa?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quais séries de televisão foram criadas por Walt Disney?,True,True,True,True,True,True,True,True,True,True,True,True,True
Qual a ponte mais comprida?,False,False,False,False,False,False,False,False,False,False,False,False,False
De que país é a Sitecore,False,False,False,False,False,False,False,False,False,False,False,False,False
Com quem Lance Bass casou-se?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual a capital do Canadá?,True,True,True,True,True,True,True,True,True,True,True,True,True
Em quem Vincent van Gogh inspirou-se?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que cidade John F. Kennedy morreu?,False,False,False,False,False,False,False,False,False,False,False,False,False
O presidente Jackson dos EUA envolveu-se em uma guerra?,True,True,True,True,True,True,True,True,False,False,False,False,-1
Quem escreveu o tema do Game of Thrones?,False,False,False,False,False,False,False,True,True,True,True,True,True
Quem projetou a Ponte do Brooklin?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quando Boris Becker encerrou sua carreira?,False,False,False,False,False,False,False,False,False,False,False,False,False
Que tipos de uvas crescem no Oregon?,True,True,True,True,True,True,True,True,True,True,True,True,True
Qual a altura de Michael Jordan?,True,True,True,True,True,True,True,True,True,True,True,True,True
A que partido o prefeito de Paris pertence?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem escreveu o livro Os Pilares da Terra?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem foi o 16o presidente dos Estados Unidos?,True,True,True,True,True,True,True,True,True,True,True,True,True
Qual a altura do Monte Everest?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem foi o orientador do doutorado de Albert Einstein?,True,True,True,True,True,True,True,True,True,True,True,True,True
Em que cidade Sylvester Stallone mora?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual a moeda da República Tcheca?,True,True,True,True,True,True,True,True,True,True,True,True,True
Sócrates influenciou Aristóteles?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual o fuso horário de Salt Lake City?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem é o filho de Sonny e Cher?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que cidade está a sede das Nações Unidas?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Quem é o fundador da Penquin Books?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quando foi fundada a Jack Wolfskin?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem é o prefeito de Rotterdam?,False,False,False,False,False,False,False,False,False,False,False,False,False
Liste todos os oceanógrafos suecos.,False,False,False,False,False,False,False,False,False,False,False,False,False
Mostre-me a autobiografia de Hemingway.,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem são os pais da esposa de Juan Carlos I?,True,True,True,True,True,True,True,True,True,True,True,True,True
Tesla ganhou um Prêmio Nobel de Física?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem é o jogador de basquete mais alto?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual cidade tem menos habitantes?,False,False,False,False,False,False,False,False,False,False,False,False,False
A proinsulina é uma proteína?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem foram os pais da Rainha Victoria?,True,True,True,True,True,True,True,True,True,True,True,True,True
Che Guevara teve filhos?,False,False,False,False,False,False,False,False,False,False,False,False,False
O lago Baikal é maior do que o lago Great Bear?,False,False,False,False,False,False,False,False,False,False,False,False,False
Kaurismäki alguma vez venceu o Grand Prix de Cannes?,False,True,True,True,False,False,False,False,False,False,False,False,False
Liste todos os livros de William Goldman com mais de 300 páginas.,True,True,True,True,True,True,True,True,True,False,True,True,True
Onde está localizado o Fort Knox?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que estado dos EUA fica o Fort Knox?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Onde está enterrado Syngman Rhee?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual é o fuso horário de São Pedro de Atacama?,False,False,False,False,False,False,False,False,False,False,False,False,False
A que movimento artístico o pintor do quadro As Três Dançarinas pertencia?,False,False,False,False,False,False,False,False,False,False,False,False,False
Que cientista é conhecido pelo Projeto Manhattan e pelo Prêmio Nobel da Paz?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Mostre-me todos os livros de Asimov da série Fundação.,False,False,False,False,False,False,False,False,False,False,False,False,False
Liste todas as cidades em New Jersey com mais de 100000 habitantes.,False,False,False,False,False,False,False,False,False,False,False,False,-1
Que museu de Nova York tem mais visitantes?,True,True,True,True,True,True,True,True,True,True,True,True,True
Qual a altura da torre Yokohama Marine?,False,False,False,False,False,False,False,False,False,False,False,False,False
A nova série Battlestar Galactica tem mais episódios do que a anterior?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem é o jogador mais jovem de dardos?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem desenvolveu o jogo World of Warcraft?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual papa fundou a Televisão do Vaticano?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem compôs a música para Harold e Maude?,False,False,False,False,False,False,False,False,False,False,False,False,False
Liste todos os membros da Prodigy,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem atua nos filmes espanhois produzidos por Benicio del Toro?,True,True,True,True,True,True,True,True,True,True,True,True,True
Qual subsidiária da TUI Travel vôa para Glasgow e Dublin?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em qual país está localizada Meca?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantos idiomas são falados na Colômbia?,True,True,True,True,True,True,True,True,True,True,True,True,-1
Qual o maior estádio da Espanha?,True,True,True,True,True,True,True,True,True,True,True,True,True
Que surfistas profissionais nasceram nas Filipinas?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quais são os cinco condados de New York?,False,False,False,False,False,False,False,False,False,False,False,False,False
Cola é uma bebida?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quando a princesa Diana morreu?,False,False,False,False,False,False,False,False,False,False,False,False,False
Onde é produzido o vinho espumante na França?,False,False,False,False,False,False,False,False,False,False,False,False,False
