
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 14.330 [*9_(filme) | *producao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.830 0.500 1.000]
11 14.017 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *vincent_(filme) | director | *tim_burton] - [12.517 0.500 1.000]
12 14.017 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *ed_wood_(filme) | director | *tim_burton] - [12.517 0.500 1.000]
13 14.017 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *ed_wood_(filme) | producer | *tim_burton] - [12.517 0.500 1.000]
14 13.723 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *dark_shadows_(filme) | direcao | *tim_burton] - [12.223 0.500 1.000]
15 13.723 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *dark_shadows_(filme) | director | *tim_burton] - [12.223 0.500 1.000]
16 13.723 [*dark_shadows_(filme) | direcao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.223 0.500 1.000]
17 13.723 [*dark_shadows_(filme) | director | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.223 0.500 1.000]
18 13.500 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | abraham_lincoln:_vampire_hunter | *producao | *tim_burton] - [12.000 0.500 1.000]
19 13.500 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *alice_through_the_looking_glass_(filme) | *producao | *tim_burton] - [12.000 0.500 1.000]
20 13.500 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | batman_returns | *producao | *tim_burton] - [12.000 0.500 1.000]
21 13.500 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | batman_forever | *producao | *tim_burton] - [12.000 0.500 1.000]
22 13.500 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | cabin_boy | *producao | *tim_burton] - [12.000 0.500 1.000]
23 13.500 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | o_estranho_mundo_de_jack | *producao | *tim_burton] - [12.000 0.500 1.000]
24 13.500 [abraham_lincoln:_vampire_hunter | *producao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.000 0.500 1.000]
25 13.500 [*alice_through_the_looking_glass_(filme) | *producao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.000 0.500 1.000]
26 13.500 [batman_returns | *producao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.000 0.500 1.000]
27 13.500 [batman_forever | *producao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.000 0.500 1.000]
28 13.500 [cabin_boy | *producao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.000 0.500 1.000]
29 13.500 [o_estranho_mundo_de_jack | *producao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.000 0.500 1.000]


Time: 9763835800ns
Time: 9763.8358ms
Time: 9.7638358s
